id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
1,,"Kumiko Ito, Yasuhiro Suzu, Tomoyo Harada, Yoshio Harada, Haduki Kozu, Yumiko Fujita, Shiho Takano, Tetta Sugimoto",Tadakazu Takahashi,Mai Sawaki,,"Mai Sawaki, Setsuyo Hatanaka, Kenji Kato",ja,104,5
2,"Action, Drama, Crime","Micael Borges, Francine da Cruz, Marcelo Mello Jr., Antônio Fagundes, Gabriel Braga Nunes, Cauã Reymond, Gláucio Gomes, Jefferson Brasil, Andrea Cavalcanti, Marco Sorriso, Izak Dahora, Kikito Junqueira, Aisha Jambo, Otávio Müller, Kevin Mota, Milhem Cortaz, Mariana Nunes, MC Smith, Salomão da Silva Campos, Caio Blat, Francisco Gil, Alcemar Vieira, Ezequiel Martins Custódio, Genilda Maria",José Eduardo Belmonte,"Rodrigo Teixeira, Gabriel Martins, Leonardo Levis","RT Features, Camisa Treze","Raphael Mesquita, Rodrigo Teixeira, Angelo Defanti",pt,109,6.2
3,"Music, Comedy, Romance","Milú, Andrade e Silva, Mário Alberto, António Silva, Vasco Morgado, Eugénio Salvador, Maria Luísa",Perdigão Queiroga,"Manuel da Fonseca, Perdigão Queiroga, Eduardo Damas, Manuel Paião",Lisboa Filme,,pt,98,6.5
4,"Thriller, Crime, Drama","Andreea Vasile, Dan Condurache, Mihai Smarandache, Mihai Constantin, Emilian Oprea, Virgil Ogășanu, Liviu Pintileasa",Tudor Giurgiu,"Tudor Giurgiu, Loredana Novak","Chouchkov Brothers, Libra Film, Cor Leonis Films",Oana Giurgiu,ro,125,7
5,Drama,"David Eilander, Marcel Hensema, Pauline Greidanus, Marcel Faber, Elise Schaap",Dick Tuinder,Dick Tuinder,Column Productions,,nl,94,7.7
6,Comedy,"Richard Erdman, Edward Arnold, Ann Gillis, Robert Benchley, Hattie McDaniel, Barbara Brown, Margaret Hamilton, Joan Leslie, Ruth Tobey, William Frambes, Ann Harding, Clare Foley, Donald Meek, Robert Hutton, Dorothy Malone",Vincent Sherman,Agnes Christine Johnston,Warner Bros. Pictures,"Alex Gottlieb, Jack L. Warner",en,89,6
7,"Romance, Comedy","James Burke, Esther Howard, Fay Bainter, Barbara Bates, Mary Wickes, Sandra Gould, Jerome Cowan, Robert Montgomery, Marjorie Bennett, Raymond Roe, Tom Tully, George O'Hanlon, Ray Montgomery, Betty Lynn, Debbie Reynolds, Bette Davis",Bretaigne Windust,"Eileen Tighe, Ranald MacDougall, Graeme Lorimer",Warner Bros. Pictures,"Jack L. Warner, Henry Blanke",en,96,7.278
8,"Fantasy, Science Fiction","Vasilica Tastaman, Dem Rădulescu, Rodica Popescu Bitănescu, George Mihăiță, Jorj Voicu, Martha Hertzegh, Petre Taranu, Cornel Coman, Horea Popescu",Ion Popescu-Gopo,Ion Popescu-Gopo,Filmstudio București,,ro,84,7
9,"Action, Thriller, Horror","Jonathan Stoddard, Juliet Lopez, Ricardo Mestres, Duncan Perry, Mikhail Bugaev, Edgar Pavsner, Elise Berggreen, Danielle Poblarp, Matt Munroe, Anthony McKeown, Alan Hanson, Jennifer Khoe, Jeremy Iversen, Brenda Pollock, Trinity Bliss",Billy Hanson,Billy Hanson,Dirigo Entertainment,"Jonathan Stoddard, Jaclyn Amor, Billy Hanson, Ness Wilson",en,109,3.9
10,"Drama, Comedy, Horror","Ximena Rubio, Iván Arana, José María de Tavira, Amaury Jair, Álvaro Verduzco, Diego Luna, Beatriz Arjona, La Juani, Anajosé Aldrete, Isaac Elizalde Guitrón, Luis Reyes García, José Ángel Bichir, Flor Eduarda Gurrola",Artemio Narro,Artemio Narro,"mar, Cuarto Para las Doce, Endímia, el llanero solirario","Carlos Narro, Ixel Rion, Renato Ornelas, Rubén Gutiérrez",es,100,5.389
11,"Mystery, Crime","Fernand Berset, Jean-Paul Muel, Jeanne Herviale, Suzanne Wolff, Michel Galabru, Dorine Oliver, André Lacombe, Alain Mottet, Chantal Dupuy, Daniel Auteuil, Fanny Cottençon, Antoine Mozin, Dominique Goron, Annick Alane, Jenny Clève, Geoffrey Carey, Gabriel Jabbour, Manuela Gourary, Jean Rougerie, André Julien, Bertrand Hautot, Christian Zanetti, Claude Villers, Mort Shuman, Pierre Frag",Bob Swaim,"Bob Swaim, Robert Réa, Pierre Fabre, Léo Malet, Alain Petit","Peri Productions, Filmologies, Oriane Productions",Joël Foulon,fr,96,4
12,Drama,"Kody Burns, Arthur ""Butch"" Dixon, Richard Williams, David Slemmons, Katie Williams, Sydne Rain Gray, Richard Ray Whitman, Tatiana Rioseco",Carolina Rueda,"Carolina Rueda, Marcelo Rioseco",,,en,71,5.3
13,"Comedy, Drama","Clovis Cornillac, Nelson Petronaci, Géraldine Salès, Jean-Pierre Martins, Hubert Delattre, Sophie Guillemin, Mehdi Senoussi, Sébastien Chabane, Olivia Côte, Chad Chenouga, Eye Haïdara, Laurence Côte, Shirel Nataf","Michel Tavarès, Karine Blanc","Michel Tavarès, Karine Blanc","Les Films du 24, France 3 Cinéma",Yves Marmion,fr,102,6.2
14,,"Arnis Līcītis, Aleksandr Fatyushin, Boris Shcherbakov, Oleg Kharitonov",Grigori Torchinsky,Valeri Schepotin,,,en,81,1
15,Drama,"Aurélien Patouillard, André Wilms, Baptiste Coustenoble, Olivia Csiky Trnka, Elina Löwensohn, Antonin Schopfer, Steven C. Matthews, Pierre-Antoine Dubey, Bruno Ganz, Magali Heu, Paul Laurent",Jacob Berger,,,,fr,72,4.1
16,Documentary,"Chelsea Dittrich, Barbara Korczak, Jack Barsky, Robert Korczak",,,A+E Studios,,en,60,7.3
17,"Comedy, Drama","Ken Yoshizawa, Masuo Kinugasa, Tomoko Katsura, Akemi Yamaguchi, Hidetoshi Kageyama, Akira Takahashi, Keiko Maki, Tatsuya Hamaguchi, Hidemi Hara",Noboru Tanaka,Akira Nakano,Nikkatsu Corporation,Ryoji Ito,ja,68,5.6
18,Music,Christopher Cross,Kenneth Botelho,,,,en,93,8
19,Action,"Weng Hsiao-Hu, Li Kun, Chan Sing, Hsia Ling-Ling, Alan Chui Chung-San, Lung Fei, Ma Chin-Ku, Hsieh Hsing, Min Min, Don Wong Tao, Carter Wong, Chang Chi-Ping",Chang Hsin-Yi,,,"Alex Gouw, Ching Lan-Wing",cn,90,5.4
20,"Comedy, Horror","Spencer Austin, Lucinda Rhodes Thakrar, Kyri Saphiris",Jason Croot,Jason Croot,New Breed Productions,,en,62,4.2
21,Drama,"David Leonard, Tracey Roberts, Dorothy Adams, Tom Steele, Henry Daniell, Audrey Dalton, Dayton Lummis, John Dehner, Patricia Iannone, I. Stanford Jolley, Eugene Mazzola, James Mitchell, Jay Novello, Joseph Wiseman, Allison Hayes, Paul Cavanagh, Joseph Mell, Taina Elg, Cecil Kellaway, Dorothy Neumann, Richard Devon, Charles Wagenheim, Francis L. Sullivan, John Damler, John Rosser, Ann Cameron, John George, Lana Turner, Walter Hampden, Louis Calhern, Edmund Purdom, Neville Brand, Chuck Roberson, Sandy Descher, Booth Colman, Gloria Dea, Philip Tonge, Phyllis Graffeo, Jarma Lewis, Peter DeBear, George Sawaya",Richard Thorpe,"Joseph I. Breen, Samuel James Larsen, Maurice Zimm",Metro-Goldwyn-Mayer,Charles Schnee,en,112,4.5
22,Drama,"Hanns Zischler, Ernest Lenart, Gideon Shemer, Carola Regnier, Caroline Peters, Knut Berger, Lior Ashkenazi",Eytan Fox,Gal Uchovsky,"Lama Films, United King Films","Amir Harel, Gal Uchovsky",he,103,6.902
23,"Action, Adventure, Science Fiction","Hiroshi Masuoka, Kazuyoshi Sakai, Daisuke Shima, Mami Higashiyama, Noboru Kaneko, Hidenari Ugaki, Hiroshi Miyauchi, Hisao Egawa, Kyousei Tsukui, Takeru Shibaki, Shôei, Miu Takeuchi, Shozo Iizuka, Takemi, Kouichi Sakaguchi, Kenji Shibata, Kei Horie, Rei Saito",Noboru Takemoto,Masanao Akahoshi,Toei Company,,ja,70,7.4
24,"Documentary, Music","Craig Jones, Corey Taylor, Chris Fehn, James Root, Joey Jordison, Mick Thomson, Shawn Crahan, Paul Gray, Sid Wilson",Shawn Crahan,,,Neil Zaugg,en,60,9
25,"Action, Drama, War","Дмитрий Таланцев, Sergey Perelygin, Aleksandr Grishin, Vladimir Shulga, Aleksandr Golovin, Aleksandr Solovyov, Andrey Bobrov, Vadim Kolganov, Sergey Neudachin, Vasiliy Lykshin, Evgeny Sergeev, Andrei Panin, Rostislav Bershauer, Nikolay Kochura, Vladimir Kashpur, Vladimir Andreyev, Kirill Emelyanov, Andrey Krasko, Pavel Abdalov, Velimir Rusakov, Yury Sysoev, Aleksey Zaytsev, Dmitry Gorevoy, Denis Karasyov",Aleksandr Atanesyan,"Vladimir Kunin, Aleksandr Atanesyan","Paradise Production Center, Angel Film, Federal Agency for Culture and Cinematography of the Russian Federation","Armen Adilkhanyan, Yuriy Kushneryov, Gevorg Nersisyan",ru,97,6.015
26,"Action, Comedy, Adventure","Cynthia Coray, Mathis Künzler, Sascha Ley, Sabine Timoteo, Alexandra Prusa, Sascha Lara Bleuler, Janine Horsburgh, Maggie Shore, Hans-Peter Ulli, Milton Rodrigues Gomes, Celine Wenger, Nils Althaus, Myriam Muller, Kaspar Weiss, Gianin Loffler, Delphine Clairet, Antoine Monot Jr., Nina Bühlmann",Carla Lia Monti,"Carla Lia Monti, Thomas Hess, Martin Muser","Dschoint Ventschr Filmproduktion, Paul Thiltges Distributions",,de,80,2
27,Adventure,"Ezzatollah Entezami, Majid Mozaffari, Parviz Pourhosseini, Katayoun Riahi, Dariush Arjmand, Mehdi Fathi",Muhammad Bozorgnia,"Hassan Gholizadeh, Behnam Diani, Muhammad Bozorgnia",,,fa,110,5
